ID	plosna_op	podnik_op	info_op	REG_TOT	FIN_TOT	INFO_TOT	REG_SP	FIN_SP	INFO_SP	P1	konz	P2_1	P2_2	liber	zena
64411	8.75	9.25	10	4	4.666666666666667	7.5	3.25	4	4.428571428571429	8	5	4	2	4	0
64719	4.25	4.75	4.5	1.5	4.333333333333333	2	4.25	3	4.142857142857143	9	3.6666666666666665	1	3	3	1
64731	4.75	9	6.5	5	5	3.5	4.5	3	4.571428571428571	5	3	5	3	5	1
64881	7	7.75	8.5	8.5	5.666666666666667	2.5	4.25	4.5	4.857142857142857	8	4.666666666666667	4	5	3.5	1
65075	6.75	9	8.5	6.5	5.666666666666667	4.5	4.75	3.5	4.5	8	4.333333333333333	4	2	4	0
65266	1.75	8.5	3	3	2.3333333333333335	3	2.5	2.5	3.142857142857143	9	3.3333333333333335	2	5	4.5	0
65271	6.5	8.25	7.5	5	5.666666666666667	8.5	3.5	4	4.714285714285714	7	3.3333333333333335	2	2	3	1
65275	3.25	7.5	8.5	8	6.333333333333333	6.5	4.25	5	4.428571428571429	7	4.333333333333333	3	2	5	1
65282	7.5	6.75	7.5	5.5	6.666666666666667	8	3.25	1.5	4.142857142857143	3	3	5	3	3.5	0
65286	3.75	10	9.5	5.5	6.333333333333333	6.5	4.666666666666667	5	4.333333333333333	8	4.333333333333333	3	4	4	1
65291	7.25	7.75	6.5	6.5	7.333333333333333	7.5	4	3.5	3.7142857142857144	7	3	3	2	2.5	0
65303	4.75	7.5	9	5.5	6	10	2.75	4.5	4.142857142857143	6	3	2	4	4.5	0
65310	2.25	5	4.5	4.5	4	5.5	2.75	4	4.142857142857143	7	3.3333333333333335	2	4	3.5	0
65347	3.75	3	7	6.5	4.333333333333333	2.5	4.5	3	4.428571428571429	5	4.333333333333333	1	4	3.5	0
65354	8.5	9.5	8	2.5	4	6.5	2.5	3	3.2857142857142856	7	4	4	5	4.5	1
65356	8.5	9	5.5	6.5	6	8	3	1	3.857142857142857	6	4	2	4	3.5	0
65357	6	3.5	7	5	2.3333333333333335	7.5	2.25	3	4.428571428571429	8	2.6666666666666665	2	5	4.5	1
65369	8.5	6.75	8.5	3	5.333333333333333	5	3	4	4	6	4	2	3	4.5	0
65384	5.5	3.25	7.5	6	6.666666666666667	7.5	3.75	5	5	5	4.666666666666667	4	5	5	1
65387	7.5	7	8.5	7.5	7	6.5	2.5	2.5	3.857142857142857	7	4.333333333333333	4	4	3	0
65389	6	7.5	5	6	5.333333333333333	9	3.75	2.5	4.571428571428571	8	4.666666666666667	2	4	3	0
65395	1.5	5	3.5	7	5.666666666666667	3	3.5	4	4.285714285714286	9	4	1	5	3	1
65426	6	5.25	7.5	7.5	9	8	5	4.5	3.7142857142857144	9	3	2	4	5	1
65594	6.75	4.5	3	4	4	4	1.75	3	2.4285714285714284	8	2.3333333333333335	1	4	4	0
65650	2.75	7	2.5	3	3	2.5	4.5	4.5	4.428571428571429	10	5	3	4	4.5	1
65686	7	5.5	5	8.5	5	10	5	4	4.142857142857143	5	2.6666666666666665	4	4	3.5	0
65928	6	8.75	7	4	7.666666666666667	10	4.25	4.5	4.428571428571429	10	4	2	5	2.5	0
66242	7.5	7.5	8	9	7	6.5	3	3	4.714285714285714	4	4.333333333333333	3	3	4	1
66434	7.75	6	6.5	5	5	8	2.75	4	4.571428571428571	5	3.6666666666666665	2	4	4	0
66459	5.75	7.25	5	9.5	8.666666666666666	6.5	4.25	4.5	4.857142857142857	8	4.333333333333333	1	4	4.5	1
66465	6.75	7.5	7.5	8.5	8	7.5	3	3	3.857142857142857	10	3.6666666666666665	4	3	3.5	0
66472	6.25	6.75	9	5.5	4.333333333333333	10	2.75	1.5	5	7	3.3333333333333335	4	1	3	0
66484	10	8.5	7.5	6	6.333333333333333	7	2	1	5	0	3.6666666666666665	4	1	1	0
66490	4.75	6	8	5	7	8	4	2	4.285714285714286	3	3.3333333333333335	2	3	4.5	1
66519	8.75	8.75	5	3.5	3.6666666666666665	3.5	3.75	4	4.428571428571429	5	4	2	4	4.5	1
66520	7	8.5	3	1	1.6666666666666667	3.5	1.75	1.5	3.4	10	1.6666666666666667	1	5	3.5	0
66523	4	7	6	4.5	2.5	3.5	2.5	3	4.142857142857143	8	4	3	4	4	0
66534	8.5	7.5	5.5	3.5	4	6	2.75	3.5	4.285714285714286	8	4	2	5	4	0
66539	7.75	5.5	9.5	5.5	5.666666666666667	8	3	3.5	4	7	4.333333333333333	2	4	4.5	1
66541	5.25	6	8.5	6	6.666666666666667	8	3	3	4.428571428571429	9	2	1	5	4	0
66556	9.25	8.5	7.5	5	5.333333333333333	7.5	2.75	2.5	3.5714285714285716	5	3.6666666666666665	2	4	4	0
66562	7.5	5.25	8	6	4.666666666666667	5	3.75	3.5	4.285714285714286	10	4.333333333333333	2	3	2	1
66567	8.5	9.5	9.5	8	5.333333333333333	7.5	3.5	2.5	4.285714285714286	8	4	1	4	4.5	1
66568	10	10	5.5	8	9	9	3	5	4.857142857142857	0	3	1	1	3.5	1
66576	8.5	8	6.5	3	8	7.5	1.25	3	4.571428571428571	5	3	1	3	5	0
66580	7.25	8	5.5	4	4.666666666666667	6.5	4	4	4.857142857142857	6	4	1	5	5	0
66582	8.75	7.5	8	7.5	7	7	3	3.5	4.142857142857143	0	4.666666666666667	2	3	5	0
66598	7.5	7.5	8	5.5	4.666666666666667	9	3.25	4	4.428571428571429	6	4.333333333333333	1	3	3.5	0
